Samples,Study,Similarity,Signature Subs-01,Signature Subs-02,Signature Subs-03,Signature Subs-04,Signature Subs-05,Signature Subs-08,Signature Subs-12,Signature Subs-13,Signature Subs-17a,Signature Subs-17b,Signature Subs-18,Signature Subs-33,Signature Subs-40,Signature Subs-42
NSLC-0001-T01,Laval - Quebec,0.85,417,0,0,0,884,0,0,0,0,0,0,0,4262,0
NSLC-0002-T01,Laval - Quebec,0.86,467,0,0,0,1755,0,0,0,0,0,0,0,3001,0
NSLC-0003-T01,Laval - Quebec,0.76,1046,502,0,0,1911,0,0,382,0,0,0,0,0,0
NSLC-0004-T01,Laval - Quebec,0.7,264,1021,0,0,1297,0,0,1038,0,0,0,0,3333,0
NSLC-0005-T01,Laval - Quebec,0.74,571,6808,0,0,3930,0,0,6492,0,0,0,0,0,0
NSLC-0006-T01,Laval - Quebec,0.9299999999999999,32,25,0,0,591,122,0,0,0,0,0,0,0,0
NSLC-0007-T01,Laval - Quebec,0.87,149,0,0,0,728,0,0,0,0,0,0,0,1161,0
NSLC-0008-T01,Laval - Quebec,0.94,259,551,0,0,2896,0,0,0,0,0,597,0,0,0
NSLC-0009-T01,Laval - Quebec,0.7,344,283,0,0,667,0,0,0,0,0,0,0,2130,0
NSLC-0010-T01,Laval - Quebec,0.7,5,12,0,0,182,61,0,16,0,0,0,0,0,0
NSLC-0011-T01,Laval - Quebec,0.8799999999999999,501,882,0,0,608,0,0,1081,0,0,0,0,5047,0
NSLC-0012-T01,Laval - Quebec,0.85,361,174,0,0,1159,0,0,0,0,0,0,0,3795,0
NSLC-0013-T01,Laval - Quebec,0.82,297,109,0,0,1292,0,0,0,0,0,0,0,1706,0
NSLC-0014-T01,Laval - Quebec,0.94,38,0,0,0,786,172,0,0,0,0,0,0,0,0
NSLC-0015-T01,Laval - Quebec,0.7899999999999999,151,0,0,0,1243,0,0,0,0,0,0,0,2271,0
NSLC-0016-T01,Laval - Quebec,1,38,0,0,0,800,0,0,0,0,0,0,0,446,0
NSLC-0017-T01,Laval - Quebec,0.86,346,0,0,0,1370,0,0,470,0,0,0,0,3825,0
NSLC-0018-T01,Laval - Quebec,0.95,766,0,0,0,546,0,0,609,0,0,0,0,7884,0
NSLC-0019-T01,Laval - Quebec,0.72,1,0,0,0,9,0,0,0,0,0,0,0,0,0
NSLC-0020-T01,Laval - Quebec,0.8799999999999999,2771,18897,0,0,4934,0,0,20007,0,0,0,1841,0,0
NSLC-0021-T01,Laval - Quebec,0.96,238,137,0,0,966,0,0,0,0,0,0,0,1527,0
NSLC-0022-T01,Laval - Quebec,0.9099999999999999,69,0,0,0,825,224,0,0,0,0,0,0,0,0
NSLC-0023-T01,Laval - Quebec,0.84,40,0,0,0,746,181,0,0,0,0,0,0,0,0
